Étiquettes de lignes;Nombre de Marque;Min. de Prix;Max. de Prix2
Cartier Ronde de Cartier;1;0;0
DeLaneau Golden Dream Shutter;1;0;0
Moritz Grossmann TEFNUT Twist;1;0;0
Oris Big Crown Timer;1;0;0
Oris ProDiver;1;0;0
Tudor Heritage;1;0;0
Garmin;782;2;2394
Hirsch;28;6;145
Swatch;1007;9;13454
(vide);;10;6000000
Casio;1499;11;6999
Roamer;173;13;2100
Timberland Watches;4;15;187
Timex;285;15;1048
Esprit;7;18;211
Diesel;120;18;900
Fossil;527;18;179991
Ingersoll;306;19;1284
Lorenz;167;19;9650
Seiko;2896;19;111676
Breil;74;20;2900
Guess;565;20;836
Pryngeps;45;20;1750
Sector;146;20;3849
Cadet Chronostar;1;25;25
Pulsar;97;25;9999
Glycine Airman;103;28;11000
Junghans;172;28;5200
Viceroy;5;28;1550
Certina DS;108;29;7816
Citizen;4895;29;77811
Lorus;156;29;340
Bifora;20;30;1097
ck Calvin Klein;308;30;790
Tavannes;33;30;7900
Tommy Hilfiger;76;30;184
Armani;464;35;1210
Bulova;1012;35;6697
Dugena Festa;11;35;699
Festina;394;35;7500
Ice Watch;12;35;17000
Raketa;191;35;12000
Dugena;187;38;2990
Puma;1;38;38
Vostok;646;38;1680
Eichmüller;1;39;39
Pierre Cardin;15;39;5865
Poljot;416;39;3112
Morellato;23;40;138
Juvenia;52;41;7200
Seiko 5;470;41;2441
Michael Kors;491;42;512
Oris Divers Sixty Five;605;42;5490
Skagen;36;44;296
Elgin;140;45;15635
Invicta;181;45;23779
Helvetia;56;45;13900
Hugo Boss;273;45;483
Luminox Black Ops;9;45;449
Oris;237;45;27913
Certina;273;46;5632
Casio G-Shock;3109;47;15922
Luminox;534;47;1591
Anonimo;91;49;18900
Auguste Reymond;50;49;7008
M&M Swiss Watch;1;49;49
Kienzle;39;49;2450
Philip Watch;85;49;6770
Cyma;276;50;15132
Tissot;1068;50;17500
Jacques Lemans;223;52;1674
Stowa;69;52;12800
Police;183;53;3900
Locman;290;54;5020
Lacoste;162;54;253
BWC-Swiss;75;55;3850
Gul Watches;2;55;100
Orient;577;55;5578
Technos;36;55;1990
Tissot PR 100;205;55;1588
Volna;5;55;5132
Victorinox Swiss Army Original;3;55;494
Waltham;124;55;18000
Seiko Solar;135;56;1500
Slava;86;56;680
Momo Design;41;57;1950
Casio Edifice;331;60;2232
Eterna;323;60;13731
Elysee;28;60;895
Dolce & Gabbana;24;60;8878
Nautica;8;60;149
TAG Heuer;721;60;51185
Candino;30;62;1800
Casio Baby-G;397;62;1648
Rotary;274;63;2920
Alpina;145;67;6000
Gucci;902;67;21702
Prim;17;67;4818
Nixon;93;68;2683
Mondaine;121;68;915
Swiss Military;591;70;4054
Fortis;233;72;6555
Glashütte Original;122;74;159800
Mido Multifort;426;74;7900
Tissot PR 50;12;75;349
Gaga Milano;157;77;16500
Maurice Lacroix;291;78;4977
Zenith;1236;79;102500
Condor;10;80;4466
GUB Glashütte;129;80;8990
Jacques Lemans Classic London;10;80;201
Maserati;848;80;797
Lip;130;80;18000
Marvin;54;80;13500
Meistersinger;158;80;4427
Mondia;117;80;5700
Roamer Searock;32;80;990
Sandoz;57;80;5578
Roamer Vanguard;6;80;458
Wenger;87;80;445
Revue Thommen;103;81;8280
Michel Jordi;21;83;58000
Seiko Chronograph;512;85;3602
Tissot PRC 100;12;85;1116
Glycine;83;86;2495
Orient Sport;36;86;1440
Sector 450;12;86;213
Tissot Stylist;27;86;2686
Louis Erard;104;87;34417
Aerowatch;24;88;3124
Bulova Diamond;152;88;13696
Gant;2;88;139
Seiko Selection;147;88;568
Sector 850;6;88;679
Raymond Weil;129;88;6800
Favre-Leuba;103;89;12500
Locman Nuovo;31;89;670
Seiko Scuba;248;89;2500
ZentRa;37;89;1590
Wyler Vetta;89;89;21777
Cerruti;26;90;765
Gardé;12;90;180
Hamilton Pan Europ;47;90;5025
Margi;7;90;9179
Michel Herbelin;172;90;2099
Philip Watch Caribe;28;90;4000
Seiko Presage;1421;90;6699
St. Gallen;1;90;90
Wittnauer;84;90;10274
Zeno-Watch Basel;773;90;88052
Bulova Accutron;120;92;6477
Stuhrling;45;92;1674
DuBois et fils;37;93;5717
Movado Museum;81;93;3127
Victorinox Swiss Army;138;93;2234
Hamilton;779;94;6914
Gruen Precision;47;95;3350
Jaquet-Droz;62;95;445587
Locman Stealth;84;95;1028
Seiko Dolce;72;95;1539
Sector 950;10;95;1250
Aigner;12;96;590
Certina DS-4;14;96;697
Officina del Tempo;16;96;955
Seiko Prospex;2768;98;13149
Doxa;184;99;13400
Atlantic;168;100;2150
Catena;6;100;2116
Bulova Classic;258;100;4500
Gigandet;57;100;5750
Jacques Lemans Classic Milano;5;100;226
Nivada;105;100;5950
Lanco;62;100;2012
S.Oliver;3;100;140
Swiss Military Hanowa Swiss Soldier Prime;3;100;135
Seiko Kinetic;64;100;5020
REC Watches;12;100;3120
Seiko Lord Matic;75;100;1281
Dugena Dessau;3;101;110
Jacques Lemans Classic York;1;102;102
Jacques Lemans La Passion;12;102;302
Tissot Seastar;88;102;2200
Victorinox Swiss Army I.N.O.X.;106;102;1200
Ingersoll Bison;2;103;250
Tissot T-Classic;108;103;2026
Benrus;59;104;12675
Bulgari;383;105;116701
Burberry;149;105;320000
Franck Muller;553;105;164777
Omega;2413;105;81512
Locman Island;16;106;372
Orient Mako;198;107;1016
Gucci Horsebit;24;108;1243
Jean Lassale;6;109;9999
Cortébert;34;110;8750
Leonidas;49;110;14980
KHS;7;110;705
Movado;515;112;24563
Tissot T-Touch II;47;112;1200
Casio Pro Trek;177;114;1739
Tissot PRC 200;129;114;1544
TW Steel;140;114;1499
Edox;439;115;17521
Perseo;44;115;3990
Omega De Ville;772;115;19590
Phantoms;1;115;115
Tissot Cera;6;115;387
Versace;1087;115;4590
Tissot T-Wave;52;115;1800
Casio Sheen;41;116;458
Seiko Spirit;49;117;1396
Orient Star;395;118;3909
Breguet Type XX - XXI - XXII;278;120;56166
Camel Active;5;120;200
Jacques Lemans Classic Sydney;1;120;120
Mauboussin;30;120;17500
Record;52;120;14990
Swiss Military Hanowa Flagship;17;120;396
Seiko 5 Sports;1361;120;2661
Titus;46;120;8254
Tissot V8;48;120;747
Wempe;29;120;7900
Maurice Lacroix Les Classiques;85;121;4000
Locman Sport Tonneau;35;121;553
Locman Sport Quadrato;9;123;586
Longines;1735;123;2000000
Aristo;29;125;8250
Citizen Promaster;617;125;5025
Fendi;153;125;5809
Orient Bambino;324;125;480
Pequignet Rue Royale;20;125;22185
Orator;8;125;4454
Zodiac;145;125;10386
Tissot Tradition;211;125;960
Jacques Lemans Sport Liverpool;7;126;352
Zeppelin;754;127;2520
Enicar;90;128;14500
Sicura;51;128;1920
Chanel;231;129;109443
Grovana;8;129;1239
Sea-Gull;100;129;13045
Spinnaker;184;129;700
Van Cleef & Arpels;146;129;111620
Bulova Crystal;54;133;679
Luminox Sentry;5;133;291
Alpina Horological Smartwatch;20;137;938
Seiko Neo Classic;36;137;337
Momentum;2;138;275
Tissot Touch;71;138;3120
Citizen Promaster Marine;294;139;1514
Yves Saint Laurent;2;139;800
Eberhard & Co.;395;140;18427
Dugena Monza;4;140;1490
Mido Baroncelli;226;140;1628
Mondaine Evo;66;144;632
Baume & Mercier;489;145;83757
Gruen;44;145;2567
Hanhart;57;145;10169
Kienzle Poseidon;1;145;145
Mathey-Tissot;63;145;21900
Seiko King;183;147;3956
Wenger Sea Force;20;147;352
Azzaro;3;148;197
Certina DS Spel Lady;5;149;826
Iron Annie;297;149;2520
Omega Genève;632;149;14663
Rebellion;11;149;52500
Raymond Weil Tango;174;149;2450
Yema;207;149;7800
Zenith Port Royal;125;149;75605
Davosa;310;150;2418
Ingersoll Richmond;1;150;150
Jules Jürgensen;38;150;22500
Locman Change One;21;150;604
Mondaine Classic;52;150;562
Lucien Rochat;67;150;6300
Pierre Balmain;31;150;1700
Porsche Design;110;150;18500
Pacardt;2;150;340
RSW;92;150;38348
Rado Diastar;178;150;13999
Tissot Couturier;120;150;1599
Tissot Le Locle;295;150;24999
Maurice Lacroix Eliros;169;151;1069
Maurice Lacroix Miros;86;151;2264
Tissot Bridgeport;28;151;3125
Philip Watch Blaze;4;153;270
Orient Kamasu;56;154;557
Certina DS Podium;76;155;1776
Girard Perregaux;438;155;175890
Rado;255;155;320000
Paul Picot;142;155;8900
Seiko Sportura;35;155;3500
Tissot TXL;14;155;708
IWC;1053;157;163056
Seiko Credor;245;158;58254
Nina Ricci;11;159;916
Balmain;12;160;2926
Locman Latin Lover;11;160;1100
Ebel;95;162;24634
Junkers Bauhaus;35;163;730
Mondaine Simply Elegant;13;163;430
Tissot PRS 516;126;164;2211
Heuer;603;165;70000
Omega Seamaster;2237;165;45630
Universal Genève;480;165;38000
Zeno-Watch Basel Airplane Diver;17;165;2142
Bulova Wilton;50;166;667
Bulova Marine Star;149;166;5999
Technomarine Cruise;22;166;3000
