Date;Categorie;Description;Marque;quantité;prix actuel;prix avant reduc;pourcentage reduc;prix par unité
02/05/2023;sante-bio;Psyllium Blond Bio;Sfb;200 g;8,72 ¬ ;11,41 ¬ ;-24%;43,60 ¬ /kg
02/05/2023;sante-bio;Barre Protéinée Bouddha Cacao & Fruits à Coques Bio;Iswari;47 g;1,98 ¬ ;2,45 ¬ ;-19%;42,13 ¬ /kg
02/05/2023;sante-bio;Sève de Bouleau des Pyrénées Bio;Fée Nature;3,00 L;22,75 ¬ ;26,70 ¬ ;-15%;7,58 ¬ /L
02/05/2023;sante-bio;Sel d'Epsom;Nature et Partage;1 kg;5,20 ¬ ;6,40 ¬ ;-19%;5,20 ¬ /kg
02/05/2023;sante-bio;aucune;aucune;Pas de quantité;aucun;aucun;aucun;aucun
02/05/2023;sante-bio;Protéine de Chanvre bio;Iswari;250 g;7,58 ¬ ;9,50 ¬ ;-20%;30,32 ¬ /kg
02/05/2023;sante-bio;Huile Essentielle de Tea Tree Bio;Bonescient;10 mL;3,72 ¬ ;5,87 ¬ ;-37%;372,00 ¬ /L
02/05/2023;sante-bio;Barre Protéinée Bouddha Chia Citron & Spiruline Bio;Iswari;47 g;1,98 ¬ ;2,46 ¬ ;-20%;42,13 ¬ /kg
02/05/2023;sante-bio;Sève de Bouleau Bio;Fée Nature;5,00 L;34,10 ¬ ;38,57 ¬ ;-12%;6,82 ¬ /L
02/05/2023;sante-bio;Vitamines B12 (1 mg) + Iode et Sélénium x 60;Argalys;Pas de quantité;13,98 ¬ ;17,86 ¬ ;-22%;0,23 ¬ /unité
02/05/2023;sante-bio;Eau Florale de Lavande officinale Bio;Bonescient;200 mL;6,17 ¬ ;9,81 ¬ ;-37%;30,85 ¬ /L
02/05/2023;sante-bio;Magnésium Marin + B6 x 80;Nat et Form;Pas de quantité;5,95 ¬ ;6,78 ¬ ;-12%;0,07 ¬ /unité
02/05/2023;sante-bio;Sève de Bouleau des Pyrénées Bio;Fée Nature;1,00 L;9,90 ¬ ;11,81 ¬ ;-16%;9,90 ¬ /L
02/05/2023;sante-bio;Huile Essentielle de Menthe Poivrée Bio;Bonescient;10 mL;4,50 ¬ ;6,38 ¬ ;-29%;450,00 ¬ /L
02/05/2023;sante-bio;Eau Florale de Fleur D'Oranger Bio;Bonescient;200 mL;8,11 ¬ ;10,87 ¬ ;-25%;40,55 ¬ /L
02/05/2023;sante-bio;Petit Déjeuner Éveil du Bouddha Açaï Banane et Fraise bio;Iswari;360 g;7,90 ¬ ;9,43 ¬ ;-16%;21,94 ¬ /kg
02/05/2023;sante-bio;Charbon Végétal Activé en Poudre;Sfb;150 g;8,12 ¬ ;12,63 ¬ ;-36%;54,13 ¬ /kg
02/05/2023;sante-bio;Eau Florale de Bleuet Bio;Bonescient;200 mL;6,08 ¬ ;10,37 ¬ ;-41%;30,40 ¬ /L
02/05/2023;sante-bio;Sel de Nigari (Chlorure De Magnésium);Celnat;100 g;1,86 ¬ ;2,09 ¬ ;-11%;18,60 ¬ /kg
02/05/2023;sante-bio;Protéines Super Vegan Bio;Iswari;250 g;9,14 ¬ ;11,31 ¬ ;-19%;36,56 ¬ /kg
02/05/2023;sante-bio;Petit Déjeuner Éveil du Bouddha Maxi Protéines bio;Iswari;360 g;7,90 ¬ ;9,75 ¬ ;-19%;21,94 ¬ /kg
02/05/2023;sante-bio;Spiruline bio en poudre;Iswari;125 g;7,24 ¬ ;8,20 ¬ ;-12%;57,92 ¬ /kg
02/05/2023;sante-bio;Açaï bio en poudre;Iswari;70 g;10,20 ¬ ;14,56 ¬ ;-30%;145,71 ¬ /kg
02/05/2023;sante-bio;Huile de Jojoba Bio;Avril;100 mL;10,20 ¬ ;12,00 ¬ ;-15%;102,00 ¬ /L
